Army Name, Army Allegiance, Unit Name, Unit Type, Unit Size, Sp, Me, Ra, De, Att, Ne, Pts, Special
Undead Armies, Evil, Skeleton Warriors, Infantry, Troop, 5, 5, 0, 4, 10, 0/12, 65, Shambling; Lifeleech (1)
Undead Armies, Evil, Skeleton Warriors, Infantry, Regiment, 5, 5, 0, 4, 12, 0/16, 90, Shambling; Lifeleech (1)
Undead Armies, Evil, Skeleton Warriors, Infantry, Horde, 5, 5, 0, 4, 25, 0/23, 150, Shambling; Lifeleech (1)
Undead Armies, Evil, Skeleton Archers, Infantry, Troop, 5, 6, 5, 3, 8, 0/12, 75, Bows; Shambling; Lifeleech (1)
Undead Armies, Evil, Skeleton Archers, Infantry, Regiment, 5, 6, 5, 3, 10, 0/16, 100, Bows; Shambling; Lifeleech (1)
Undead Armies, Evil, Skeleton Archers, Infantry, Horde, 5, 6, 5, 3, 20, 0/23, 165, Bows; Shambling; Lifeleech (1)
Undead Armies, Evil, Skeleton Spearmen, Infantry, Troop, 5, 5, 0, 4, 10, 0/12, 75, Phalanx; Shambling; Lifeleech (1)
Undead Armies, Evil, Skeleton Spearmen, Infantry, Regiment, 5, 5, 0, 4, 15, 0/16, 105, Phalanx; Shambling; Lifeleech (1)
Undead Armies, Evil, Skeleton Spearmen, Infantry, Horde, 5, 5, 0, 4, 30, 0/23, 175, Phalanx; Shambling; Lifeleech (1)
Undead Armies, Evil, Ghouls, Infantry, Troop, 6, 4, 0, 3, 10, 8/10, 65, Lifeleech (1) 
Undead Armies, Evil, Ghouls, Infantry, Regiment, 6, 4, 0, 3, 12, 12/14, 90, Lifeleech (1) 
Undead Armies, Evil, Ghouls, Infantry, Horde, 6, 4, 0, 3, 25, 19/21, 150, Lifeleech (1) 
Undead Armies, Evil, Soul Reaver Infantry, Infantry, Troop, 6, 3, 0, 5, 20, 11/13, 180, Crushing Strength (2); Lifeleech (2)
Undead Armies, Evil, Soul Reaver Infantry, Infantry, Regiment, 6, 3, 0, 5, 25, 15/17, 260, Crushing Strength (2); Lifeleech (2)
Undead Armies, Evil, Soul Reaver Cavalry, Cavalry, Troop, 8, 3, 0, 6, 10, 12/14, 195, Crushing Strength (1); Lifeleech (2); Thunderous Charge (2)
Undead Armies, Evil, Soul Reaver Cavalry, Cavalry, Troop, 8, 3, 0, 6, 20, 15/17, 300, Crushing Strength (1); Lifeleech (2); Thunderous Charge (2)
Undead Armies, Evil, Revenants, Infantry, Troop, 5, 4, 0, 5, 10, 0/13, 85, Shambling; Lifeleech (2)
Undead Armies, Evil, Revenants, Infantry, Regiment, 5, 4, 0, 5, 12, 0/17, 120, Shambling; Lifeleech (2)
Undead Armies, Evil, Revenants, Infantry, Horde, 5, 4, 0, 5, 25, 0/24, 200, Shambling; Lifeleech (2)
Undead Armies, Evil, Revenant Cavalry, Cavalry, Troop, 8, 4, 0, 5, 8, 0/14, 110, Shambling; Lifeleech (2); Thunderous Charge (2)
Undead Armies, Evil, Revenant Cavalry, Cavalry, Regiment, 8, 4, 0, 5, 16, 0/17, 170, Shambling; Lifeleech (2); Thunderous Charge (2)
